순위,가수명,곡명
1,NewJeans,Super Shy
2,정국,Seven (feat. Latto) - Clean Ver.
3,(여자)아이들,퀸카 (Queencard)
4,박재정,헤어지자 말해요
5,IVE (아이브),I AM
6,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
7,aespa,Spicy
8,Lauv,Steal The Show (From “엘리멘탈”)
9,임영웅,사랑은 늘 도망가
10,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
11,IVE (아이브),Kitsch
12,임영웅,모래 알갱이
13,NewJeans,Hype boy
14,NCT DREAM,ISTJ
15,임영웅,우리들의 블루스
16,NCT DREAM,Candy
17,임영웅,다시 만날 수 있을까
18,NCT DREAM,Broken Melodies
19,NewJeans,Ditto
20,임영웅,무지개
21,임영웅,이제 나만 믿어요
22,임영웅,London Boy
23,임영웅,Polaroid
24,세븐틴 (SEVENTEEN),손오공
25,임영웅,아버지
26,정국,Still With You
27,NewJeans,New Jeans
28,임영웅,인생찬가
29,지수 (JISOO),꽃
30,임영웅,A bientot
31,임영웅,손이 참 곱던 그대
32,방탄소년단,Dynamite
33,NewJeans,OMG
34,임영웅,사랑해 진짜
35,임영웅,연애편지
36,NewJeans,Attention
37,NCT DREAM,파랑 (Blue Wave)
38,FIFTY FIFTY,Cupid
39,윤하 (YOUNHA),사건의 지평선
40,방탄소년단,Butter
41,NCT DREAM,Like We Just Met
42,방탄소년단,Take Two
43,Charlie Puth,I Don't Think That I Like Her
44,임영웅,보금자리
45,NCT DREAM,Yogurt Shake
46,IVE (아이브),After LIKE
47,지민,Like Crazy
48,Agust D,사람 Pt.2 (feat. 아이유)
49,방탄소년단,봄날
50,Charlie Puth,Dangerously
51,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
52,"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)
53,NCT DREAM,Poison (모래성)
54,ZEROBASEONE (제로베이스원),In Bloom
55,IVE (아이브),LOVE DIVE
56,NCT DREAM,Skateboard
57,NCT DREAM,SOS
58,방탄소년단,Permission to Dance
59,NCT DREAM,Pretzel (♡)
60,DK(디셈버),심(心)
61,NCT DREAM,제자리 걸음 (Starry Night)
62,허각,물론
63,EXO,Cream Soda
64,STAYC(스테이씨),Teddy Bear
65,(여자)아이들,Allergy
66,방탄소년단,The Planet
67,임한별,사랑하지 않아서 그랬어
68,LE SSERAFIM (르세라핌),ANTIFRAGILE
69,멜로망스,사랑인가 봐
70,지아,사랑..그게 뭔데
71,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
72,"j-hope, J. Cole",on the street (with J. Cole)
73,성시경,너의 모든 순간
74,탑현,나에게 그대만이
75,임재현,Heaven(2023)
76,이무진,잠깐 시간 될까
77,던 (DAWN),빛이 나는 너에게
78,김민석 (멜로망스),취중고백
79,"The Kid LAROI, Justin Bieber",STAY
80,Charlie Puth,That's Hilarious
81,imase,NIGHT DANCER
82,케이시 (Kassy),사실말야내가말야그게그러니까말이야
83,김호중,그중에 그대를 만나
84,경서,첫 키스에 내 심장은 120BPM
85,#안녕,해요 (2022)
86,(여자)아이들,TOMBOY
87,Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
88,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
89,제이세라,사랑의 바보
90,(여자)아이들,Nxde
91,ZEROBASEONE (제로베이스원),New Kidz on the Block
92,aespa,Thirsty
93,이채연,KNOCK
94,멜로망스,찬란한 하루
95,테이,Monologue
96,"경서예지, 전건호",다정히 내 이름을 부르면
97,EXO,Hear Me Out
98,김민석 (멜로망스),예뻤어 (여름날 우리 X 김민석 (멜로망스))
99,ZEROBASEONE (제로베이스원),우주먼지 (and I)
100,10CM,그라데이션
