,메뉴이름,가격
0,오리 영양도시락,"6,900"
1,통살 오징어튀김,"2,900"
2,미나리 오징어 덮밥(매운맛),"5,500"
3,미나리 오징어 덮밥(오리지널),"5,500"
4,열무 감초고추장 비빔밥,"4,500"
5,열무 두부강된장 비빔밥,"4,900"
6,해바라기,"10,000"
7,매화,"10,500"
8,진달래,"7,800"
9,개나리,"8,500"
10,돈까스도련님고기고기,"6,300"
11,탕수육도련님고기고기,"6,000"
12,새치 고기고기,"7,000"
13,돈치 고기고기,"6,000"
14,카츠카츠 도시락,"4,800"
15,숯불직화구이,"6,600"
16,소불고기,"5,500"
17,메가치킨제육,"7,500"
18,칠리 찹쌀탕수육도련님,"4,400"
19,동백,"6,000"
20,치킨제육,"4,900"
21,돈까스도련님,"4,800"
22,제육볶음,"4,500"
23,돈치스팸 도시락,"5,000"
24,제육 김치찌개 정식,"8,600"
25,제육 김치 부대찌개 정식,"9,000"
26,돈치스팸 김치 부대찌개 정식,"9,000"
27,빅치킨마요 김치 부대찌개 정식,"8,000"
28,치킨마요 김치 부대찌개 정식,"7,400"
29,빅치킨마요 김치찌개 정식,"7,500"
30,치킨마요 김치찌개 정식,"6,900"
31,새후마요,"4,500"
32,메가스팸마요,"5,800"
33,스팸마요,"3,900"
34,메가치킨마요,"6,000"
35,왕치킨마요,"5,000"
36,빅치킨마요,"4,300"
37,치킨마요,"3,700"
38,참치마요,"3,500"
39,돈치마요,"4,000"
40,돈까스 카레,"4,700"
41,스팸 김치볶음밥,"4,700"
42,김치볶음밥,"3,900"
43,스팸철판볶음밥,"4,700"
44,소불고기 철판볶음밥,"4,900"
45,나시고랭,"6,200"
46,묵은지 김치찌개,"4,900"
47,김치 부대찌개,"6,000"
48,숯불직화구이 덮밥,"6,000"
49,마파두부 덮밥,"5,000"
50,왕카레돈까스덮밥,"6,000"
51,새우돈까스 덮밥,"4,200"
52,돈까스 덮밥,"4,100"
53,아보카도 훈제 닭가슴살 명란 비빔밥,"6,500"
54,아보카도 소불고기 명란 비빔밥,"6,500"
55,소불고기 감초고추장 비빔밥,"5,400"
56,시골제육 두부강된장 비빔밥,"5,200"
57,참치야채 감초고추장,"3,500"
58,튼튼도시락,"5,000"
59,반찬 묵은지김치찌개,"4,400"
60,반찬 카레,"2,900"
61,반찬 순살 고등어 간장구이,"3,900"
62,반찬 김치 부대찌개,"4,900"
63,반찬 치킨,"3,800"
64,반찬 고기고기,"3,600"
65,반찬 돈까스 도련님,"4,100"
66,반찬 제육볶음,"3,500"
67,반찬 토네이도 소세지,"2,800"
68,반찬 반달돈까스,"2,900"
69,치즈버터 해시 포테이토 스틱,"2,200"
70,허니버터 해시 포테이토 스틱,"2,200"
71,해시 포테이토 스틱,"2,000"
72,뉴 감자고로케,"2,700"
73,미니 찹쌀핫도그,"2,800"
74,미니 찹쌀탕수육,"2,200"
75,케이준후라이,"1,900"
76,통현미 닭강정(소),"3,500"
77,통현미 닭강정(중),"8,500"
78,후라이드 순살(중),"7,500"
79,후라이드 순살(소)_양념치킨소스,"4,000"
80,후라이드 순살(소)_케이준소스,"4,000"
81,오리지널 닭강정(중),"8,500"
82,오리지널 닭강정(소),"3,500"
83,반찬 무생채,400
84,3종 미니반찬B,"1,300"
85,3종 미니반찬A,"1,300"
86,반찬 열무김치,500
87,오징어젓갈,600
88,한솥 두부강된장소스,"1,800"
89,한솥 감초볶음고추장소스,500
90,볶음김치,500
91,김치,400
92,무말랭이 무침,500
93,한솥밥,"1,000"
94,현미밥,"1,700"
95,리얼 티라미수 찰떡,"1,700"
96,리얼꿀 미니호떡,"2,200"
