순서,메뉴,가격
1,오리 영양도시락,"6,900"
2,통살 오징어튀김,"2,900"
3,미나리 오징어 덮밥(매운맛),"5,500"
4,미나리 오징어 덮밥(오리지널),"5,500"
5,열무 감초고추장 비빔밥,"4,500"
6,열무 두부강된장 비빔밥,"4,900"
7,해바라기,"10,000"
8,매화,"10,500"
9,진달래,"7,800"
10,개나리,"8,500"
11,돈까스도련님고기고기,"6,300"
12,탕수육도련님고기고기,"6,000"
13,새치 고기고기,"7,000"
14,돈치 고기고기,"6,000"
15,카츠카츠 도시락,"4,800"
16,숯불직화구이,"6,600"
17,소불고기,"5,500"
18,메가치킨제육,"7,500"
19,칠리 찹쌀탕수육도련님,"4,400"
20,동백,"6,000"
21,치킨제육,"4,900"
22,돈까스도련님,"4,800"
23,제육볶음,"4,500"
24,돈치스팸 도시락,"5,000"
25,제육 김치찌개 정식,"8,600"
26,제육 김치 부대찌개 정식,"9,000"
27,돈치스팸 김치 부대찌개 정식,"9,000"
28,빅치킨마요 김치 부대찌개 정식,"8,000"
29,치킨마요 김치 부대찌개 정식,"7,400"
30,빅치킨마요 김치찌개 정식,"7,500"
31,치킨마요 김치찌개 정식,"6,900"
32,새후마요,"4,500"
33,메가스팸마요,"5,800"
34,스팸마요,"3,900"
35,메가치킨마요,"6,000"
36,왕치킨마요,"5,000"
37,빅치킨마요,"4,300"
38,치킨마요,"3,700"
39,참치마요,"3,500"
40,돈치마요,"4,000"
41,돈까스 카레,"4,700"
42,스팸 김치볶음밥,"4,700"
43,김치볶음밥,"3,900"
44,스팸철판볶음밥,"4,700"
45,소불고기 철판볶음밥,"4,900"
46,나시고랭,"6,200"
47,묵은지 김치찌개,"4,900"
48,김치 부대찌개,"6,000"
49,숯불직화구이 덮밥,"6,000"
50,마파두부 덮밥,"5,000"
51,왕카레돈까스덮밥,"6,000"
52,새우돈까스 덮밥,"4,200"
53,돈까스 덮밥,"4,100"
54,아보카도 훈제 닭가슴살 명란 비빔밥,"6,500"
55,아보카도 소불고기 명란 비빔밥,"6,500"
56,소불고기 감초고추장 비빔밥,"5,400"
57,시골제육 두부강된장 비빔밥,"5,200"
58,참치야채 감초고추장,"3,500"
59,튼튼도시락,"5,000"
60,반찬 묵은지김치찌개,"4,400"
61,반찬 카레,"2,900"
62,반찬 순살 고등어 간장구이,"3,900"
63,반찬 김치 부대찌개,"4,900"
64,반찬 치킨,"3,800"
65,반찬 고기고기,"3,600"
66,반찬 돈까스 도련님,"4,100"
67,반찬 제육볶음,"3,500"
68,반찬 토네이도 소세지,"2,800"
69,반찬 반달돈까스,"2,900"
70,치즈버터 해시 포테이토 스틱,"2,200"
71,허니버터 해시 포테이토 스틱,"2,200"
72,해시 포테이토 스틱,"2,000"
73,뉴 감자고로케,"2,700"
74,미니 찹쌀핫도그,"2,800"
75,미니 찹쌀탕수육,"2,200"
76,케이준후라이,"1,900"
77,통현미 닭강정(소),"3,500"
78,통현미 닭강정(중),"8,500"
79,후라이드 순살(중),"7,500"
80,후라이드 순살(소)_양념치킨소스,"4,000"
81,후라이드 순살(소)_케이준소스,"4,000"
82,오리지널 닭강정(중),"8,500"
83,오리지널 닭강정(소),"3,500"
84,반찬 무생채,400
85,3종 미니반찬B,"1,300"
86,3종 미니반찬A,"1,300"
87,반찬 열무김치,500
88,오징어젓갈,600
89,한솥 두부강된장소스,"1,800"
90,한솥 감초볶음고추장소스,500
91,볶음김치,500
92,김치,400
93,무말랭이 무침,500
94,한솥밥,"1,000"
95,현미밥,"1,700"
96,리얼 티라미수 찰떡,"1,700"
97,리얼꿀 미니호떡,"2,200"
